127.0.0.1, 2014-01-05 18:09:13, GET, /, HTTP/1.1, 303, 0.000734
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/default/index, HTTP/1.1, 200, 0.990514
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000408
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000434
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.004634
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.002859
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.001634
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.001378
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.001471
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001707
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000375
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000417
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.001331
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000378
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.000435
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000856
127.0.0.1, 2014-01-05 18:09:14, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001234
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/default/index, HTTP/1.1, 200, 0.007982
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000443
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/js/jquery.js, HTTP/1.1, 200, 0.000382
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/css/calendar.css, HTTP/1.1, 200, 0.001022
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/css/web2py.css, HTTP/1.1, 200, 0.000353
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/js/calendar.js, HTTP/1.1, 200, 0.000435
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002614
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/js/web2py.js, HTTP/1.1, 200, 0.000223
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.001743
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/css/examples.css, HTTP/1.1, 200, 0.000366
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.001171
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/book-recipes.png, HTTP/1.1, 200, 0.001374
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.001517
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/js/share.js, HTTP/1.1, 200, 0.000652
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002065
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/web2py_logo.png, HTTP/1.1, 200, 0.002007
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/book-5th.png, HTTP/1.1, 200, 0.002732
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001493
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.001342
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.002376
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.001076
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000312
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000295
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000368
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.001051
127.0.0.1, 2014-01-05 18:09:44, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.001752
127.0.0.1, 2014-01-05 18:09:48, GET, /welcome/default/index, HTTP/1.1, 200, 0.023403
127.0.0.1, 2014-01-05 18:09:52, GET, /welcome/default/index, HTTP/1.1, 200, 0.015278
127.0.0.1, 2014-03-22 20:18:15, GET, /, HTTP/1.1, 303, 0.002164
127.0.0.1, 2014-03-22 20:18:15, GET, /welcome/default/index, HTTP/1.1, 200, 0.244283
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.052523
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.051958
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.050960
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.051461
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.057231
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004210
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/css/web2py.css, HTTP/1.1, 200, 0.056602
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000423
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000362
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/web2py_bootstrap.js, HTTP/1.1, 200, 0.000624
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.000973
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.000557
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000484
127.0.0.1, 2014-03-22 20:18:16, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.000658
